name|parent|paperCount
All Topics|
Impacts of Climate Change on Marine Fisheries|Global and Planetary Change|668
Global and Planetary Change|Environmental Science
Environmental Science|Physical Sciences
Physical Sciences|All Topics
Impact of Aquaculture on Marine Ecosystems and Food Supply|Global and Planetary Change|276
Resilience of Coral Reef Ecosystems to Climate Change|Ecology|765
Ecology|Environmental Science
Climate Change and Variability Research|Global and Planetary Change|140
Global Methane Emissions and Impacts|Global and Planetary Change|79
Numerical Weather Prediction Models|Atmospheric Science|23
Atmospheric Science|Earth and Planetary Sciences
Earth and Planetary Sciences|Physical Sciences
Marine Biogeochemistry and Ecosystem Dynamics|Oceanography|462
Oceanography|Earth and Planetary Sciences
Arctic Sea Ice Variability and Decline|Atmospheric Science|148
Oceanic Modeling and Circulation Studies|Oceanography|211
Microbial Nitrogen Cycling in Wastewater Treatment Systems|Pollution|7
Pollution|Environmental Science
Marine Microbial Diversity and Biogeography|Ecology|156
Marine Biodiversity and Ecosystem Functioning|Oceanography|624
Impact of Climate Change on Human Migration|Sociology and Political Science|55
Sociology and Political Science|Social Sciences (Field)
Social Sciences (Field)|Social Sciences (Domain)
Social Sciences (Domain)|All Topics
Tropical Cyclone Intensity and Climate Change|Atmospheric Science|126
Multiscale Seafloor Mapping and Classification Techniques|Oceanography|82
Anaerobic Methane Oxidation and Gas Hydrates|Environmental Chemistry|149
Environmental Chemistry|Environmental Science
High-Resolution Seismic Noise Tomography|Geophysics|6
Geophysics|Earth and Planetary Sciences
Importance of Marine Spatial Planning in Ecosystem Management|Management, Monitoring, Policy and Law|321
Management, Monitoring, Policy and Law|Environmental Science
Sustainability Assessment and Impact Evaluation|Management, Monitoring, Policy and Law|19
Microplastic Pollution in Marine and Terrestrial Environments|Pollution|138
Geological Evolution of South China Sea|Geology|21
Geology|Earth and Planetary Sciences
Climate Change and Paleoclimatology|Atmospheric Science|176
Human Settlement in the Pacific Islands|Geography, Planning and Development|9
Geography, Planning and Development|Social Sciences (Field)
Ecological Dynamics of Marine Environments|Oceanography|382
Ecology and Conservation of Marine Mammals|Ecology|282
Global Diversity of Microbial Eukaryotes and Their Evolution|Molecular Biology|40
Molecular Biology|Biochemistry, Genetics and Molecular Biology
Biochemistry, Genetics and Molecular Biology|Life Sciences
Life Sciences|All Topics
Impact of Ocean Acidification on Marine Ecosystems|Oceanography|245
Avian Ecology and Climate Change Impacts|Ecology|49
Wildlife Ecology and Conservation Biology|Ecology|33
Maritime Archaeology in the Mediterranean Sea|Archeology|18
Archeology|Arts and Humanities
Arts and Humanities|Social Sciences (Domain)
Underwater Acoustic Sensor Networks and Communication|Ocean Engineering|12
Ocean Engineering|Engineering
Engineering|Physical Sciences
Maritime Transportation Safety and Risk Analysis|Ocean Engineering|10
Atmospheric Aerosols and their Impacts|Atmospheric Science|35
Carbon Dioxide Capture and Storage Technologies|Mechanical Engineering|2
Mechanical Engineering|Engineering
Machine Learning for Earthquake Early Warning Systems|Artificial Intelligence|1
Artificial Intelligence|Computer Science
Computer Science|Physical Sciences
Community Resilience to Natural Disasters|Sociology and Political Science|20
Management and Reproducibility of Scientific Workflows|Information Systems and Management|2
Information Systems and Management|Decision Sciences
Decision Sciences|Social Sciences (Domain)
Hydrologic Data Management and Analysis|Geology|2
Data Sharing and Stewardship in Science|Information Systems|1
Information Systems|Computer Science
Impacts of Climate Change on Glaciers and Water Availability|Atmospheric Science|42
Environmental DNA in Biodiversity Monitoring|Ecology|28
Species Distribution Modeling and Climate Change Impacts|Ecological Modeling|43
Ecological Modeling|Environmental Science
Dynamics of Ocean Surface Waves and Wind Interaction|Oceanography|33
Arctic Shipping and Governance|Sociology and Political Science|43
Sustainability Transitions and Resilience in Social-Ecological Systems|Global and Planetary Change|13
Volunteered Geographic Information and Geospatial Crowdsourcing|Geography, Planning and Development|2
Marine Invasions and Biodiversity Loss in Mediterranean Sea|Global and Planetary Change|113
Marine Genetic Resources and International Law|Management, Monitoring, Policy and Law|73
Indigenous Health Disparities and Decolonization|Health|2
Health|Social Sciences (Field)
Empowerment and Collaboration in Community Health|General Health Professions|6
General Health Professions|Health Professions
